strategy,model,n,gate_n,gate_rate,viol_rate_all,viol_rate_gate,mean_viol_all,mean_viol_gate,sev_max_gate
baseline,qwen2.5-coder:32b,45,45,1.0,1.0,1.0,10.911111111111111,10.911111111111111,0.9199999999999999
baseline,deepseek-coder-v2:16b,45,20,0.4444444444444444,0.4222222222222222,0.95,4.222222222222222,9.5,0.6799999999999998
baseline,codellama:34b,45,18,0.4,0.4,1.0,4.0,10.0,1.0
baseline,pooled,135,83,0.6148148148148148,0.6074074074074074,0.9879518072289156,6.377777777777778,10.373493975903614,0.8795180722891566
A8.1,qwen2.5-coder:32b,15,15,1.0,1.0,1.0,12.2,12.2,0.98
A8.1,deepseek-coder-v2:16b,15,6,0.4,0.4,1.0,3.0,7.5,0.8000000000000002
A8.1,codellama:34b,15,5,0.3333333333333333,0.3333333333333333,1.0,4.133333333333334,12.4,1.0
A8.1,pooled,45,26,0.5777777777777777,0.5777777777777777,1.0,6.444444444444445,11.153846153846153,0.9423076923076923
A8.2,qwen2.5-coder:32b,15,15,1.0,1.0,1.0,10.933333333333334,10.933333333333334,0.9266666666666665
A8.2,deepseek-coder-v2:16b,15,9,0.6,0.6,1.0,3.466666666666667,5.777777777777778,0.7
A8.2,codellama:34b,15,4,0.26666666666666666,0.26666666666666666,1.0,2.933333333333333,11.0,1.0
A8.2,pooled,45,28,0.6222222222222222,0.6222222222222222,1.0,5.777777777777778,9.285714285714286,0.8642857142857142
A8.3,qwen2.5-coder:32b,15,15,1.0,1.0,1.0,11.0,11.0,1.0
A8.3,deepseek-coder-v2:16b,15,7,0.4666666666666667,0.4666666666666667,1.0,3.7333333333333334,8.0,0.7000000000000001
A8.3,codellama:34b,15,7,0.4666666666666667,0.4666666666666667,1.0,4.533333333333333,9.714285714285714,1.0
A8.3,pooled,45,29,0.6444444444444445,0.6444444444444445,1.0,6.4222222222222225,9.96551724137931,0.9275862068965518
A8.4,qwen2.5-coder:32b,15,15,1.0,1.0,1.0,22.733333333333334,22.733333333333334,1.0
A8.4,deepseek-coder-v2:16b,15,6,0.4,0.4,1.0,2.7333333333333334,6.833333333333333,0.75
A8.4,codellama:34b,15,6,0.4,0.4,1.0,4.4,11.0,0.9500000000000001
A8.4,pooled,45,27,0.6,0.6,1.0,9.955555555555556,16.59259259259259,0.9333333333333335
A8.5,qwen2.5-coder:32b,15,15,1.0,1.0,1.0,13.533333333333333,13.533333333333333,0.9600000000000001
A8.5,deepseek-coder-v2:16b,15,11,0.7333333333333333,0.7333333333333333,1.0,5.6,7.636363636363637,0.7000000000000001
A8.5,codellama:34b,15,5,0.3333333333333333,0.3333333333333333,1.0,3.066666666666667,9.2,1.0
A8.5,pooled,45,31,0.6888888888888889,0.6888888888888889,1.0,7.4,10.741935483870968,0.8741935483870967
A8.6,qwen2.5-coder:32b,15,15,1.0,1.0,1.0,12.733333333333333,12.733333333333333,0.9600000000000001
A8.6,deepseek-coder-v2:16b,15,5,0.3333333333333333,0.3333333333333333,1.0,4.6,13.8,0.8200000000000001
A8.6,codellama:34b,15,5,0.3333333333333333,0.3333333333333333,1.0,2.4,7.2,0.9400000000000001
A8.6,pooled,45,25,0.5555555555555556,0.5555555555555556,1.0,6.5777777777777775,11.84,0.9280000000000002
A8.7,qwen2.5-coder:32b,15,15,1.0,1.0,1.0,12.6,12.6,1.0
A8.7,deepseek-coder-v2:16b,15,5,0.3333333333333333,0.3333333333333333,1.0,2.1333333333333333,6.4,0.7
A8.7,codellama:34b,15,6,0.4,0.4,1.0,6.2,15.5,0.8500000000000001
A8.7,pooled,45,26,0.5777777777777777,0.5777777777777777,1.0,6.977777777777778,12.076923076923077,0.9076923076923078
