experiment,model,condition,adversarial_type,outcome_metric,n_tasks,spearman_rho,p_value,y_is_constant,p_method
E1,CodeLlama-34B,baseline,,count,6,0.398527,0.433858,0,scipy.spearmanr
E1,CodeLlama-34B,baseline,,cvr,6,,,1,scipy.spearmanr
E1,CodeLlama-34B,baseline,,severity,6,,,1,scipy.spearmanr
E1,CodeLlama-34B,safety,,count,8,0.44458,0.269739,0,scipy.spearmanr
E1,CodeLlama-34B,safety,,cvr,8,0.396774,0.330441,0,scipy.spearmanr
E1,CodeLlama-34B,safety,,severity,8,0.528815,0.177815,0,scipy.spearmanr
E1,DeepSeek-Coder-V2-16B,baseline,,count,10,0.320994,0.365813,0,scipy.spearmanr
E1,DeepSeek-Coder-V2-16B,baseline,,cvr,10,0.175142,0.628414,0,scipy.spearmanr
E1,DeepSeek-Coder-V2-16B,baseline,,severity,10,-0.197887,0.583678,0,scipy.spearmanr
E1,DeepSeek-Coder-V2-16B,safety,,count,15,-0.168624,0.548008,0,scipy.spearmanr
E1,DeepSeek-Coder-V2-16B,safety,,cvr,15,,,1,scipy.spearmanr
E1,DeepSeek-Coder-V2-16B,safety,,severity,15,-0.63857,0.010401,0,scipy.spearmanr
E1,Qwen2.5-Coder-32B,baseline,,count,15,-0.330937,0.228265,0,scipy.spearmanr
E1,Qwen2.5-Coder-32B,baseline,,cvr,15,,,1,scipy.spearmanr
E1,Qwen2.5-Coder-32B,baseline,,severity,15,-0.474207,0.07412,0,scipy.spearmanr
E1,Qwen2.5-Coder-32B,safety,,count,15,0.52471,0.044623,0,scipy.spearmanr
E1,Qwen2.5-Coder-32B,safety,,cvr,15,,,1,scipy.spearmanr
E1,Qwen2.5-Coder-32B,safety,,severity,15,0.247879,0.373057,0,scipy.spearmanr
E2,CodeLlama-34B,adversarial_A8.1,A8.1,count,5,0.725476,0.16537,0,scipy.spearmanr
E2,CodeLlama-34B,adversarial_A8.1,A8.1,cvr,5,,,1,scipy.spearmanr
E2,CodeLlama-34B,adversarial_A8.1,A8.1,severity,5,,,1,scipy.spearmanr
E2,CodeLlama-34B,adversarial_A8.2,A8.2,count,4,0.258199,0.741801,0,scipy.spearmanr
E2,CodeLlama-34B,adversarial_A8.2,A8.2,cvr,4,,,1,scipy.spearmanr
E2,CodeLlama-34B,adversarial_A8.2,A8.2,severity,4,,,1,scipy.spearmanr
E2,CodeLlama-34B,adversarial_A8.3,A8.3,count,7,0.41574,0.353596,0,scipy.spearmanr
E2,CodeLlama-34B,adversarial_A8.3,A8.3,cvr,7,,,1,scipy.spearmanr
E2,CodeLlama-34B,adversarial_A8.3,A8.3,severity,7,,,1,scipy.spearmanr
E2,CodeLlama-34B,adversarial_A8.4,A8.4,count,6,-0.061604,0.907711,0,scipy.spearmanr
E2,CodeLlama-34B,adversarial_A8.4,A8.4,cvr,6,,,1,scipy.spearmanr
E2,CodeLlama-34B,adversarial_A8.4,A8.4,severity,6,-0.132842,0.801909,0,scipy.spearmanr
E2,CodeLlama-34B,adversarial_A8.5,A8.5,count,5,0.725476,0.16537,0,scipy.spearmanr
E2,CodeLlama-34B,adversarial_A8.5,A8.5,cvr,5,,,1,scipy.spearmanr
E2,CodeLlama-34B,adversarial_A8.5,A8.5,severity,5,,,1,scipy.spearmanr
E2,CodeLlama-34B,adversarial_A8.6,A8.6,count,5,-0.725476,0.16537,0,scipy.spearmanr
E2,CodeLlama-34B,adversarial_A8.6,A8.6,cvr,5,,,1,scipy.spearmanr
E2,CodeLlama-34B,adversarial_A8.6,A8.6,severity,5,-0.725476,0.16537,0,scipy.spearmanr
E2,CodeLlama-34B,adversarial_A8.7,A8.7,count,6,0.60876,0.19966,0,scipy.spearmanr
E2,CodeLlama-34B,adversarial_A8.7,A8.7,cvr,6,,,1,scipy.spearmanr
E2,CodeLlama-34B,adversarial_A8.7,A8.7,severity,6,0.48795,0.326164,0,scipy.spearmanr
E2,DeepSeek-Coder-V2-16B,adversarial_A8.1,A8.1,count,6,-0.347863,0.499253,0,scipy.spearmanr
E2,DeepSeek-Coder-V2-16B,adversarial_A8.1,A8.1,cvr,6,,,1,scipy.spearmanr
E2,DeepSeek-Coder-V2-16B,adversarial_A8.1,A8.1,severity,6,0.0,1.0,0,scipy.spearmanr
E2,DeepSeek-Coder-V2-16B,adversarial_A8.2,A8.2,count,9,-0.218746,0.571763,0,scipy.spearmanr
E2,DeepSeek-Coder-V2-16B,adversarial_A8.2,A8.2,cvr,9,,,1,scipy.spearmanr
E2,DeepSeek-Coder-V2-16B,adversarial_A8.2,A8.2,severity,9,,,1,scipy.spearmanr
E2,DeepSeek-Coder-V2-16B,adversarial_A8.3,A8.3,count,7,-0.411377,0.359187,0,scipy.spearmanr
E2,DeepSeek-Coder-V2-16B,adversarial_A8.3,A8.3,cvr,7,,,1,scipy.spearmanr
E2,DeepSeek-Coder-V2-16B,adversarial_A8.3,A8.3,severity,7,,,1,scipy.spearmanr
E2,DeepSeek-Coder-V2-16B,adversarial_A8.4,A8.4,count,6,0.637536,0.17326,0,scipy.spearmanr
E2,DeepSeek-Coder-V2-16B,adversarial_A8.4,A8.4,cvr,6,,,1,scipy.spearmanr
E2,DeepSeek-Coder-V2-16B,adversarial_A8.4,A8.4,severity,6,-0.130931,0.804726,0,scipy.spearmanr
E2,DeepSeek-Coder-V2-16B,adversarial_A8.5,A8.5,count,11,0.586682,0.057794,0,scipy.spearmanr
E2,DeepSeek-Coder-V2-16B,adversarial_A8.5,A8.5,cvr,11,,,1,scipy.spearmanr
E2,DeepSeek-Coder-V2-16B,adversarial_A8.5,A8.5,severity,11,,,1,scipy.spearmanr
E2,DeepSeek-Coder-V2-16B,adversarial_A8.6,A8.6,count,5,-0.7,0.18812,0,scipy.spearmanr
E2,DeepSeek-Coder-V2-16B,adversarial_A8.6,A8.6,cvr,5,,,1,scipy.spearmanr
E2,DeepSeek-Coder-V2-16B,adversarial_A8.6,A8.6,severity,5,-0.866025,0.057669,0,scipy.spearmanr
E2,DeepSeek-Coder-V2-16B,adversarial_A8.7,A8.7,count,5,0.223607,0.717686,0,scipy.spearmanr
