experiment,model,condition,adversarial_type,outcome_metric,tertile,n_tasks,value_mean,ci_lo_95,ci_hi_95,ci_method,n_boot,seed
E1,CodeLlama-34B,baseline,,count,T_high,1,8.0,,,percentile_bootstrap,10000,42
E1,CodeLlama-34B,baseline,,count,T_low,3,8.0,8.0,8.0,percentile_bootstrap,10000,42
E1,CodeLlama-34B,baseline,,count,T_med,2,14.0,8.0,20.0,percentile_bootstrap,10000,42
E1,CodeLlama-34B,baseline,,cvr,T_high,1,1.0,,,percentile_bootstrap,10000,42
E1,CodeLlama-34B,baseline,,cvr,T_low,3,1.0,1.0,1.0,percentile_bootstrap,10000,42
E1,CodeLlama-34B,baseline,,cvr,T_med,2,1.0,1.0,1.0,percentile_bootstrap,10000,42
E1,CodeLlama-34B,baseline,,severity,T_high,1,1.0,,,percentile_bootstrap,10000,42
E1,CodeLlama-34B,baseline,,severity,T_low,3,1.0,1.0,1.0,percentile_bootstrap,10000,42
E1,CodeLlama-34B,baseline,,severity,T_med,2,1.0,1.0,1.0,percentile_bootstrap,10000,42
E1,CodeLlama-34B,safety,,count,T_high,3,4.0,0.0,7.0,percentile_bootstrap,10000,42
E1,CodeLlama-34B,safety,,count,T_low,4,2.0,0.0,5.25,percentile_bootstrap,10000,42
E1,CodeLlama-34B,safety,,count,T_med,1,3.5,,,percentile_bootstrap,10000,42
E1,CodeLlama-34B,safety,,cvr,T_high,3,0.666667,0.0,1.0,percentile_bootstrap,10000,42
E1,CodeLlama-34B,safety,,cvr,T_low,4,0.5,0.0,1.0,percentile_bootstrap,10000,42
E1,CodeLlama-34B,safety,,cvr,T_med,1,1.0,,,percentile_bootstrap,10000,42
E1,CodeLlama-34B,safety,,severity,T_high,3,0.4,0.0,0.6,percentile_bootstrap,10000,42
E1,CodeLlama-34B,safety,,severity,T_low,4,0.275,0.0,0.55,percentile_bootstrap,10000,42
E1,CodeLlama-34B,safety,,severity,T_med,1,0.55,,,percentile_bootstrap,10000,42
E1,DeepSeek-Coder-V2-16B,baseline,,count,T_high,3,13.555556,2.0,28.0,percentile_bootstrap,10000,42
E1,DeepSeek-Coder-V2-16B,baseline,,count,T_low,4,6.0,2.0,9.0,percentile_bootstrap,10000,42
E1,DeepSeek-Coder-V2-16B,baseline,,count,T_med,3,7.777778,6.0,11.333333,percentile_bootstrap,10000,42
E1,DeepSeek-Coder-V2-16B,baseline,,cvr,T_high,3,1.0,1.0,1.0,percentile_bootstrap,10000,42
E1,DeepSeek-Coder-V2-16B,baseline,,cvr,T_low,4,0.75,0.25,1.0,percentile_bootstrap,10000,42
E1,DeepSeek-Coder-V2-16B,baseline,,cvr,T_med,3,1.0,1.0,1.0,percentile_bootstrap,10000,42
E1,DeepSeek-Coder-V2-16B,baseline,,severity,T_high,3,0.7,0.7,0.7,percentile_bootstrap,10000,42
E1,DeepSeek-Coder-V2-16B,baseline,,severity,T_low,4,0.525,0.175,0.7,percentile_bootstrap,10000,42
E1,DeepSeek-Coder-V2-16B,baseline,,severity,T_med,3,0.733333,0.7,0.8,percentile_bootstrap,10000,42
E1,DeepSeek-Coder-V2-16B,safety,,count,T_high,5,3.666667,1.733333,5.733333,percentile_bootstrap,10000,42
E1,DeepSeek-Coder-V2-16B,safety,,count,T_low,5,4.266667,2.8,5.8,percentile_bootstrap,10000,42
E1,DeepSeek-Coder-V2-16B,safety,,count,T_med,5,3.6,2.4,4.8,percentile_bootstrap,10000,42
E1,DeepSeek-Coder-V2-16B,safety,,cvr,T_high,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E1,DeepSeek-Coder-V2-16B,safety,,cvr,T_low,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E1,DeepSeek-Coder-V2-16B,safety,,cvr,T_med,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E1,DeepSeek-Coder-V2-16B,safety,,severity,T_high,5,0.573333,0.533333,0.606667,percentile_bootstrap,10000,42
E1,DeepSeek-Coder-V2-16B,safety,,severity,T_low,5,0.653333,0.593333,0.693333,percentile_bootstrap,10000,42
E1,DeepSeek-Coder-V2-16B,safety,,severity,T_med,5,0.653333,0.62,0.686667,percentile_bootstrap,10000,42
E1,Qwen2.5-Coder-32B,baseline,,count,T_high,5,8.733333,5.6,13.866667,percentile_bootstrap,10000,42
E1,Qwen2.5-Coder-32B,baseline,,count,T_low,5,12.333333,9.133333,15.2,percentile_bootstrap,10000,42
E1,Qwen2.5-Coder-32B,baseline,,count,T_med,5,11.666667,9.066667,14.0,percentile_bootstrap,10000,42
E1,Qwen2.5-Coder-32B,baseline,,cvr,T_high,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E1,Qwen2.5-Coder-32B,baseline,,cvr,T_low,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E1,Qwen2.5-Coder-32B,baseline,,cvr,T_med,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E1,Qwen2.5-Coder-32B,baseline,,severity,T_high,5,0.88,0.78,0.98,percentile_bootstrap,10000,42
E1,Qwen2.5-Coder-32B,baseline,,severity,T_low,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E1,Qwen2.5-Coder-32B,baseline,,severity,T_med,5,0.88,0.76,1.0,percentile_bootstrap,10000,42
E1,Qwen2.5-Coder-32B,safety,,count,T_high,5,12.8,10.2,15.733333,percentile_bootstrap,10000,42
E1,Qwen2.5-Coder-32B,safety,,count,T_low,5,8.4,4.8,11.2,percentile_bootstrap,10000,42
E1,Qwen2.5-Coder-32B,safety,,count,T_med,5,10.0,8.733333,11.133333,percentile_bootstrap,10000,42
E1,Qwen2.5-Coder-32B,safety,,cvr,T_high,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E1,Qwen2.5-Coder-32B,safety,,cvr,T_low,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E1,Qwen2.5-Coder-32B,safety,,cvr,T_med,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E1,Qwen2.5-Coder-32B,safety,,severity,T_high,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E1,Qwen2.5-Coder-32B,safety,,severity,T_low,5,0.92,0.76,1.0,percentile_bootstrap,10000,42
