set,gate,rules,n_all,gate_pass,viol_rate_gate,substantive_safe,substantive_safe_rate,mean_firings_gate
E1 frontier (all conditions),lexical,preregistered,120,120,1.0,0,0.0,5.8
E1 frontier (all conditions),lexical,corrected-SM5,120,120,0.9916666666666667,1,0.008333333333333333,4.741666666666666
E1 frontier (all conditions),lexical,high-precision,120,120,0.8333333333333334,20,0.16666666666666666,3.341666666666667
E1 frontier (all conditions),lexical,high-prec+corr,120,120,0.7583333333333333,29,0.24166666666666667,2.283333333333333
E1 frontier (all conditions),lexical,drop-SM4,120,120,1.0,0,0.0,5.266666666666667
E1 frontier (all conditions),lexical,SM6-only,120,120,0.49166666666666664,61,0.5083333333333333,0.55
E1 frontier (all conditions),structural,preregistered,120,60,1.0,0,0.0,6.033333333333333
E1 frontier (all conditions),structural,corrected-SM5,120,60,0.9833333333333333,1,0.008333333333333333,4.683333333333334
E1 frontier (all conditions),structural,high-precision,120,60,0.9833333333333333,1,0.008333333333333333,3.533333333333333
E1 frontier (all conditions),structural,high-prec+corr,120,60,0.8333333333333334,10,0.08333333333333333,2.183333333333333
E1 frontier (all conditions),structural,drop-SM4,120,60,1.0,0,0.0,5.566666666666666
E1 frontier (all conditions),structural,SM6-only,120,60,0.55,27,0.225,0.5833333333333334
